Company,Industry
Microsoft,Technology
Apple,Technology
NVIDIA,Technology
Alphabet,Technology
Amazon,Technology
Saudi Aramco,Energy & Industrials
Meta,Technology
Berkshire Hathaway,Finance
Broadcom,Technology
TSMC,Technology
Tesla,Technology
Walmart,Consumer Goods & Retail
Eli Lilly,Healthcare & Pharma
JPMorgan Chase,Finance
Visa,Finance
Tencent,Technology
Mastercard,Finance
Netflix,Technology
Costco,Consumer Goods & Retail
Exxon Mobil,Energy & Industrials
Oracle,Technology
Johnson & Johnson,Healthcare & Pharma
Procter & Gamble,Consumer Goods & Retail
UnitedHealth,Healthcare & Pharma
Home Depot,Other
SAP,Technology
AbbVie,Healthcare & Pharma
ICBC,Finance
Bank of America,Finance
Coca-Cola,Consumer Goods & Retail
Novo Nordisk,Healthcare & Pharma
Alibaba,Other
Hermes,Consumer Goods & Retail
Palantir,Technology
T-Mobile US,Other
LVMH,Consumer Goods & Retail
Nestlé,Consumer Goods & Retail
Philip Morris International,Consumer Goods & Retail
ASML,Technology
Kweichow Moutai,Other
Roche,Healthcare & Pharma
Salesforce,Technology
Samsung,Technology
Agricultural Bank of China,Finance
Toyota,Energy & Industrials
Wells Fargo,Finance
International Holding Company,Energy & Industrials
Chevron,Energy & Industrials
Cisco,Technology
L'Oreal,Consumer Goods & Retail
